City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,east london,-33.0153,27.9116,17.68,81,14,7.14,ZA,1726620214
226,kattivakkam,13.2167,80.3167,29.52,83,3,3.58,IN,1726620214
227,caleta de carquin,-11.0925,-77.6267,17.11,81,18,4.22,PE,1726620214
228,el calafate,-50.3408,-72.2768,1.88,72,13,4.04,AR,1726620095
229,pedro carbo,-1.8333,-80.2333,23.52,73,36,3.7,EC,1726620214
230,saipan,15.1355,145.701,27.39,94,75,2.57,MP,1726620214
231,cockburn town,21.4612,-71.1419,28.98,84,40,4.12,TC,1726620214
232,portland,45.5234,-122.6762,18.04,77,100,2.24,US,1726620170
233,aldinga beach,-35.2793,138.4604,16.71,62,0,6.77,AU,1726620214
234,bamboo flat,11.7,92.7167,27.38,80,100,6.29,IN,1726620214
235,bokhan,53.153,103.7714,3.33,76,11,1.83,RU,1726620215
236,waingapu,-9.6567,120.2641,28.42,62,100,2.74,ID,1726620215
237,nova sintra,14.8667,-24.7167,26.63,76,13,3.31,CV,1726620215
238,tuzlukcu,38.4778,31.6264,18.68,52,8,2.13,TR,1726620215
239,timimoun,29.2639,0.231,35.21,17,99,4.63,DZ,1726620215
240,tra vinh,9.9347,106.3453,26.08,89,100,5.07,VN,1726620015
241,santa terezinha,-29.9002,-50.0904,17.1,85,3,8.64,BR,1726620215
242,udachny,66.4167,112.4,-1.26,78,98,7.97,RU,1726620215
243,tucurui,-3.7661,-49.6725,31.99,41,100,3.41,BR,1726620215
244,uturoa,-16.7333,-151.4333,25.97,82,98,4.04,PF,1726620215
245,vanimo,-2.6741,141.3028,30.25,69,37,4.21,PG,1726620215
246,atafu village,-8.5421,-172.5159,28.23,68,100,5.66,TK,1726620215
247,beli,7.8587,10.9719,22.38,94,100,1.11,NG,1726620215
248,st. john's,47.5649,-52.7093,19.66,64,100,6.69,CA,1726620215
249,puerto aysen,-45.4,-72.7,4.54,100,100,1.22,CL,1726620114
250,luchow,52.9667,11.15,13.12,97,100,3.02,DE,1726620216
251,pangyan,5.7008,125.2811,28.95,71,100,1.2,PH,1726620216
252,qaisumah,28.3112,46.1273,27.98,23,0,2.06,SA,1726620216
253,san antonio de pale,-1.4014,5.6325,24.2,86,100,6.7,GQ,1726620216
254,goure,13.9835,10.2704,29.01,50,11,1.77,NE,1726620216
255,daru,-9.0763,143.2092,26.17,90,64,8.02,PG,1726620216
256,saint-philippe,-21.3585,55.7679,20.88,86,64,4.18,RE,1726620216
257,kruisfontein,-34.0033,24.7314,13.15,80,90,3.1,ZA,1726620216
258,mirnyy,62.5353,113.9611,1.93,90,100,3.21,RU,1726620216
259,holmsund,63.706,20.3641,11.64,87,0,2.24,SE,1726620216
260,vila velha,-20.3297,-40.2925,21.97,82,75,6.17,BR,1726620216
261,songea,-10.6833,35.65,15.27,85,5,1.58,TZ,1726620216
262,irtyshsk,53.3333,75.4572,6.42,69,0,1.29,KZ,1726620216
263,cestos city,5.46,-9.5828,24.75,90,56,2.71,LR,1726620216
264,konarka,19.9,86.1167,27.56,83,11,2.32,IN,1726620216
265,kingston,17.997,-76.7936,30.53,70,20,7.2,JM,1726620070
266,alice springs,-23.7,133.8833,20.75,13,0,5.14,AU,1726620217
